igdb_id,category_id,game_name,genre_id
137,26549,Star Wars: The Force Unleashed II,12
137,26549,Star Wars: The Force Unleashed II,25
137,26549,Star Wars: The Force Unleashed II,31
307,730238586,Counter-Strike: Source,5
438,18200,Rome: Total War,11
438,18200,Rome: Total War,13
438,18200,Rome: Total War,15
438,18200,Rome: Total War,16
438,18200,Rome: Total War,24
787,4609,Serious Sam II,5
787,4609,Serious Sam II,32
959,18881,Command & Conquer: Red Alert 3,11
959,18881,Command & Conquer: Red Alert 3,13
959,18881,Command & Conquer: Red Alert 3,15
1161,7839,Tomb Raider: Legend,5
1161,7839,Tomb Raider: Legend,8
1161,7839,Tomb Raider: Legend,31
1207,13049,Tales of the Abyss,12
1227,18598,Xenosaga Episode I: Der Wille zur Macht,12
1227,18598,Xenosaga Episode I: Der Wille zur Macht,16
1227,18598,Xenosaga Episode I: Der Wille zur Macht,31
1502,16143,Front Mission 3,12
1502,16143,Front Mission 3,15
1502,16143,Front Mission 3,16
1653,16617,Streets of Rage 2,25
1653,16617,Streets of Rage 2,33
1800,14980,Sly 3: Honor Among Thieves,8
1800,14980,Sly 3: Honor Among Thieves,31
1869,67639,Killzone: Mercenary,5
1939,280721,Destiny,5
1939,280721,Destiny,12
1941,126292,Infamous: Second Son,5
1941,126292,Infamous: Second Son,8
1941,126292,Infamous: Second Son,31
2177,31908,LEGO City Undercover,8
2177,31908,LEGO City Undercover,10
2177,31908,LEGO City Undercover,25
2177,31908,LEGO City Undercover,31
3380,6324,Harvest Moon: Back to Nature,12
3380,6324,Harvest Moon: Back to Nature,13
3507,2120323589,Goemon: Mononoke Sugoroku,35
3717,14573,Kirby's Adventure,8
4011,14901,50 Cent: Bulletproof,5
5384,10308,Eye of the Beholder,11
5384,10308,Eye of the Beholder,12
5495,29420,Asura's Wrath,25
5728,1848487811,Apex,9
5728,1848487811,Apex,10
5728,1848487811,Apex,15
6866,370539,Puyo Puyo Tetris,9
6866,370539,Puyo Puyo Tetris,15
6866,370539,Puyo Puyo Tetris,33
7901,8668,Croc: Legend of the Gobbos,8
11185,489730,Pro Evolution Soccer 2016,13
11185,489730,Pro Evolution Soccer 2016,14
12204,489974,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?,9
12204,489974,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?,13
12204,489974,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?,32
12204,489974,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?,33
18819,493112,NBA 2K17,14
20061,460180,Chain Chronicle,12
20061,460180,Chain Chronicle,35
21830,19181,Catan,15
21830,19181,Catan,26
21830,19181,Catan,35
23181,492528,OneShot,9
23181,492528,OneShot,12
23181,492528,OneShot,31
23181,492528,OneShot,32
26564,499560,The Legend of Heroes: Trails of Cold Steel III,12
26564,499560,The Legend of Heroes: Trails of Cold Steel III,15
26564,499560,The Legend of Heroes: Trails of Cold Steel III,16
26564,499560,The Legend of Heroes: Trails of Cold Steel III,31
27922,2141530229,Fallout 4 VR,12
28402,13484,Threads of Fate,8
28402,13484,Threads of Fate,9
28402,13484,Threads of Fate,12
28402,13484,Threads of Fate,31
44400,25622,Nontan to Issho: Kuru-kuru Puzzle,9
55112,498555,Fist of the North Star: Lost Paradise,12
55112,498555,Fist of the North Star: Lost Paradise,25
55112,498555,Fist of the North Star: Lost Paradise,31
56347,496326,PixArk,5
56347,496326,PixArk,12
56347,496326,PixArk,15
56347,496326,PixArk,31
77267,65801,Call of Duty: Black Ops - Zombies,5
81147,1460681135,Hyrule Warriors: Definitive Edition,15
81147,1460681135,Hyrule Warriors: Definitive Edition,25
92589,32385,Club Penguin,31
92589,32385,Club Penguin,33
105333,508865,Synth Riders,7
105333,508865,Synth Riders,14
105333,508865,Synth Riders,32
105333,508865,Synth Riders,33
109577,509932,Puyo Puyo Champions,9
112185,510077,Fury Unleashed,5
112185,510077,Fury Unleashed,8
112185,510077,Fury Unleashed,12
112185,510077,Fury Unleashed,31
112185,510077,Fury Unleashed,32
112461,1319159189,Love In Drawing,15
112461,1319159189,Love In Drawing,32
114286,512371,Madden NFL 20,14
114684,499310,Splitgate,5
117309,514322,Remothered: Broken Porcelain,31
119336,517076,Pixel Ripped 1995,31
119336,517076,Pixel Ripped 1995,32
119336,517076,Pixel Ripped 1995,33
122981,513305,One Night at Flumpty's,2
122981,513305,One Night at Flumpty's,9
122981,513305,One Night at Flumpty's,32
125009,1903254088,Halo 2: Anniversary,5
140793,1562132027,Kristala,12
140793,1562132027,Kristala,31
140793,1562132027,Kristala,32
142076,977894696,Cruelty Squad,5
142076,977894696,Cruelty Squad,13
142076,977894696,Cruelty Squad,24
142076,977894696,Cruelty Squad,32
149149,1726534440,Tyrion Cuthbert: Attorney of the Arcane,9
149149,1726534440,Tyrion Cuthbert: Attorney of the Arcane,32
149149,1726534440,Tyrion Cuthbert: Attorney of the Arcane,34
150241,486610138,Luto,31
150241,486610138,Luto,32
151967,1731433829,Sutte Hakkun,8
151967,1731433829,Sutte Hakkun,9
161626,1032548221,Infinite Tournament Paintball,13
161626,1032548221,Infinite Tournament Paintball,14
161626,1032548221,Infinite Tournament Paintball,15
161626,1032548221,Infinite Tournament Paintball,32
172403,1511972274,GeoBingo.io,9
172403,1511972274,GeoBingo.io,24
172403,1511972274,GeoBingo.io,26
172403,1511972274,GeoBingo.io,31
172403,1511972274,GeoBingo.io,32
174523,672253654,Jujutsu Kaisen: Phantom Parade,12
178351,673760473,Crab Game,4
178351,673760473,Crab Game,10
178351,673760473,Crab Game,15
178351,673760473,Crab Game,32
178351,673760473,Crab Game,33
186001,1104756815,Chameleon Twist 2,8
186001,1104756815,Chameleon Twist 2,31
187715,1419063656,The Closing Shift,13
187715,1419063656,The Closing Shift,15
187715,1419063656,The Closing Shift,31
187715,1419063656,The Closing Shift,32
191468,1027858553,Boom Bears on Stream,13
191468,1027858553,Boom Bears on Stream,32
194143,76929895,The Seven Deadly Sins: Origin,12
194143,76929895,The Seven Deadly Sins: Origin,31
199946,1666319697,Tuning Club Online,10
208473,1136944707,Dungeons of Sundaria,12
208473,1136944707,Dungeons of Sundaria,31
208473,1136944707,Dungeons of Sundaria,32
217321,1247644901,Lunars,32
217321,1247644901,Lunars,33
217321,1247644901,Lunars,35
221740,1702559244,Suika Game,9
221740,1702559244,Suika Game,33
226719,363211327,Plan B: Terraform,13
226719,363211327,Plan B: Terraform,15
226719,363211327,Plan B: Terraform,32
238675,917944087,While We Wait Here,13
238675,917944087,While We Wait Here,31
239857,2127209227,The Front,5
239857,2127209227,The Front,13
239857,2127209227,The Front,32
258242,156376999,Sky Harvest,13
258242,156376999,Sky Harvest,31
258242,156376999,Sky Harvest,32
268978,1253248583,Purple Place,13
268978,1253248583,Purple Place,32
269243,871804033,Hans,8
269243,871804033,Hans,12
269243,871804033,Hans,13
269243,871804033,Hans,31
269243,871804033,Hans,32
269243,871804033,Hans,33
278255,1091653427,Digested,31
278255,1091653427,Digested,32
279128,1423892124,Into the Radius 2,5
279128,1423892124,Into the Radius 2,24
281785,1074401885,Fears to Fathom: Woodbury Getaway,31
281785,1074401885,Fears to Fathom: Woodbury Getaway,32
285577,943320949,ContractVille,13
285577,943320949,ContractVille,32
293936,245991557,Foodguessr,26
293936,245991557,Foodguessr,33
299591,1723362790,The Jackbox Naughty Pack,9
299591,1723362790,The Jackbox Naughty Pack,12
299591,1723362790,The Jackbox Naughty Pack,15
299591,1723362790,The Jackbox Naughty Pack,32
301222,315887130,The Nightmare House,31
308697,616657652,Orcs Must Die! Deathtrap,5
308697,616657652,Orcs Must Die! Deathtrap,15
308697,616657652,Orcs Must Die! Deathtrap,32
310648,947763659,Industrial Fear,31
313123,897131007,Fairy Tail: Dungeons,12
313123,897131007,Fairy Tail: Dungeons,13
313123,897131007,Fairy Tail: Dungeons,15
313123,897131007,Fairy Tail: Dungeons,31
313123,897131007,Fairy Tail: Dungeons,32
318493,1333658322,Terroro,32
319863,1799945282,Second Stellar,32
319967,561047258,SWAT Commander,5
319967,561047258,SWAT Commander,24
321739,211531980,Fatal Frame,31
