category_id,category_name,igdb_id
2146334631,ZOETI,151780
1504963592,SNOW BROS. 2 SPECIAL,278582
1151175774,"17 Ways To Not Die (Or Not, IDK): Interactive Movie",349200
752005683,Age of History II,188228
476388,Madden NFL Mobile,39182
34249,Mystery P.I.: The London Caper,65205
489766,LEGO Worlds,10910
2110246062,3030 Deathwar Redux,32952
11542,Kane,18888
509248,MooMoo.io,111895
510700,Dawn of Man,102163
914160858,Money Simulator: Brokeville,379601
709292565,PUMPKIN PANIC,257329
436344698,The Binding of Isaac: Afterbirth+,26364
1444,Tom Clancy's Rainbow Six: Lockdown,1851
491280,Avakin Life,16756
16256,Vietcong,271
8682,Children of Mana,14988
534130103,Mages Arena,275954
1478467466,Monowave,276631
253599228,TETRIS THE GRAND MASTER 4: ABSOLUTE EYE,334968
15285,Sport Sport,92893
515662,TOTALLY BASEBALL,127163
75173060,Phibos,243394
513659,Streamer's Life,124447
59482534,Fractured Blooms,347648
494869,Tattletail,26665
492795,Youtubers Life,19331
491995,Caveblazers,33269
488276,Sword Art Online: Lost Song,11842
512754,Toca Life World,126005
513459,Songs for a Hero,19719
66451,Serious Sam HD: The Second Encounter,NA
2866138,Planet Crafter,182874
32751,Video Action,80019
956713971,Cowboy Life Simulator,123528
1523779060,DeepWeb,109305
633272614,Split Brain,321680
490354,Gears of War: Ultimate Edition,16605
418072,The Escapists,9241
32178,Octodad: Dadliest Catch,4788
1386133971,Pool,235341
235379352,Sea Power: Naval Combat in the Missile Age,217518
29708,Bejeweled 3,1978
1999,Ultimate Mortal Kombat 3,1621
6207,The Simpsons Game,2656
776012098,Screw Drivers,305376
511814,Talking Tom Gold Run,87051
84842,Operation 7,64267
2042559521,Blackjack,224087
1334833466,Sleeping Alone,241150
13697,Trash in Space,70224
2110086700,One Armed Bandit,236354
1691026305,Martha Is Dead,90714
517024,The Procession to Calvary,106985
512089,Astalon: Tears of the Earth,80885
332304161,"Car for Sale Simulator 2023: Car Mechanic, Wash, Car Flipper",273327
498449,Sword Art Online: Fatal Bullet,36515
17629,Shantae,8432
1108763158,Turing Complete,173321
506235,Team Sonic Racing,103018
302131492,Plants vs. Zombies: Battle for Neighborville - Complete Edition,142819
7192,Faxanadu,1974
268109523,Dragon City Mobile,87351
490063,Dragon's Dogma Online,26985
1543799035,Milo's Dream,350714
1945019091,JUMP KING QUEST,259095
1495317698,Barber Shop Hair Salon Beard Hair Cutting Games,95792
460421,StarCrawlers,15197
17722,FIFA Soccer 08,3135
74320,Connect 4,79945
247557705,Nightmarise,376859
6604,Fatal Frame III: The Tormented,5107
637565409,Fear the Spotlight,199130
1579130895,S4U: Citypunk 2011 and Love Punch,303000
491507,Sniper: Ghost Warrior 3,10964
1040642163,Capote,350720
595487334,Keeper,348217
515386,Skul: The Hero Slayer,127842
1979465995,Fatal Frame: Maiden of Black Water,152397
1433520025,Shelldiver,356430
10815,Yu-Gi-Oh! Reshef of Destruction,49379
30657,Initial D Arcade Stage,92218
201419777,Jet Set Radio,279629
242996276,Backrooms Society,245870
18692,Streets of Rage,1652
1797306806,Campaign Series Vietnam,150123
20130,Synthesia,50109
2023444493,Milk Outside a Bag of Milk Outside a Bag of Milk,159720
141106419,Home Paige,375075
862505933,Who Wants to Be a Millionaire,310597
504413385,Sonic Robo Blast 2 Kart,121436
1700,Fire 'n Ice,48671
720161805,Last Shift,368863
505457,Bus Simulator 18,96250
2087681658,Old School Rally,293490
1421809611,The Keeper,162424
138716441,Lichess,122008
323193,NHL 14,3003
1873359857,Grime: Definitive Edition,284491
1773168556,Silver and Blood,350078
717164103,Altered,321823
10568,Barbie Super Sports,3313
497513,Super Mega Baseball 2,26612
270805596,Spindle,159684
1419478257,Rabbids: Party of Legends,201254
10679,Supercar Street Challenge,43220
952027247,.Exe,32666
18892,RAGE,509
22137,Cesar Millan's Dog Whisperer,70646
1160459167,MLB The Show 21,143260
22878,Naruto: Gekitou Ninja Taisen! 4,75837
517405,Call of the Sea,133306
2136274773,Painting Workshop,85327
513681,WWE 2K20,121435
14245,Urban Reign,19776
261265909,Zumbi Blocks 2,284067
1021476378,Sad Satan,136346
519109,Post Void,133149
22333,In the Groove 2,70591
1711528532,The Strange Box,237186
1456289637,Party Club,295020
642917455,Moonlight Express: Fortnight,193726
1252695021,Quarantine Lockdown Simulator: Zombie Border,366217
497383,Passpartout: The Starving Artist,25214
1869263958,Jurassic Park,25880
1918453953,A Date with Death,253544
1428668531,simCompanies,176094
1199725270,WWE 2K22,145780
1828781250,KINGDOM HEARTS 0.2 Birth by Sleep - A Fragmentary Passage -,26676
