category_id,category_name,igdb_id
1072212406,The Joker's Game,347809
564433721,Ragnarok: The New World,364821
1673502163,Silver Palace,343335
1591812560,Caput Mortum,341136
506326,Someday You'll Return,102890
1076671568,Dog Witch,344119
87910571,SHE WAS 98,385327
719596946,Home Safety Hotline,244303
140754247,Zelda,152362
905937824,Pro Yakyuu Spirits 2024-2025,293324
1565417548,ROAM0120,348085
361109717,Darkwater,311201
18042,Mario Golf,3401
20454,Hexen: Beyond Heretic,3512
246353025,Soul Of Dragon,327887
587832968,Probotector,280477
21075,Wurm Online,22677
2023044672,Deadswitch 3,147182
1101172730,AI: The Somnium Files,104971
465712335,No Players Online,296122
1036966191,Varlet,341552
518901,Eiyuden Chronicle: Hundred Heroes,137451
951787838,DateBoy,376656
1896636696,Slots & Daggers,356904
1151093403,LIMINAL SHIFT,327676
1839534381,You've Got a Package,372203
510024,Lost in Vivo,111248
10090,Luigi's Mansion,2485
10788,Majesty: The Fantasy Kingdom Sim,781
339386743,Mario Golf: Super Rush,143609
964600247,Ratchet & Clank (2002),NA
913623099,Paintball Playground,295743
1407628576,Soccer,245406
26360,Deadly Premonition,1276
517568,Peglin,133512
20077,3Xtreme,45106
29053,Tales of Xillia,1212
744620654,DROD RPG 2,363048
8156,Icewind Dale II,876
514412,YumeCore,81845
67824,Tomodachi Life,6403
4133,Mega Man 3,1716
496321134,Kirby and the Forgotten Land,172427
829842972,Casualties: Unknown,360263
2137387678,The Boba Teashop,340928
259714694,Deliver Us Mars,194740
97664843,Katamari Damacy Rolling Live,335137
513906,Chicory: A Colorful Tale,117266
15064,WWF Attitude,3643
27169,The King of Fighters XIII,7038
100100816,Lost Luminosity,356451
2124007713,PICO PARK 2,314933
1070130571,Kotama&Academy Citadel,368815
7846,Rapid Reload,45013
126296160,Dokapon Kingdom: Connect,234349
1801561267,Craftlings,324569
1675235004,Dawn of Defiance,305290
571485656,Sonic P-06,148406
357435031,Fossilfuel,148665
499550,Poker Tournament,80399
1805970663,Tall Trails,252784
7064,Legendary Wings,39705
283386,Devil May Cry,134
1277738947,Sephiria,278379
45083233,On-Together,347835
1339953267,Brick Building,166220
1407092475,THE GAME OF LIFE 2,141523
1456834695,Shashingo: Learn Japanese With Photography,151903
1145769833,The Mask: From Zero to Hero,218429
499566,The Painscreek Killings,68682
1756782008,9 Kings,288741
2098604343,BrokenLore: DON'T WATCH,319625
417492,Choice Chamber,22036
145035179,Egg,108799
2024972316,ICBM: Escalation,274321
1654421360,I'm on Observation Duty 5,198853
19694,The Saboteur,3171
492859,The Conveni 2 - Zenkoku Chain Tenkaida!,58444
4682,Mega Man Battle Network 2,1756
747849228,Kingdom Hearts,301925
505766,Eastward,24417
14164,Mario & Luigi: Partners in Time,3364
27733,Before Your Eyes,91477
868771782,Tales Beyond The Tomb - Pineville Night Stalker,322838
12382,Phantasy Star IV: The End of the Millennium,1230
1879458867,Chill,368236
492738,Unravel Two,19241
15343,Tenerezza,92888
940938045,Class of '09: The Re-Up,249830
8948,Resistance: Fall of Man,1278
1592396399,Mech Builder 3D,371691
19110,Midnight Club: Los Angeles,7071
6652,Pathologic,8074
1954736629,GlitchSPANKR,282076
488587,Crossy Road,10635
10854,Castlevania II: Simon's Quest,1116
1548624818,Project Silverfish,298641
2686,PERFECT DARK,1463
1947738568,Rios de Lluvia,335973
1845066734,Suika Game Planet,366891
493813,Dusk,25260
1615809548,Quest for Glory I: So You Want to Be a Hero,198372
4382,FINAL FANTASY V,419
2224,Max Payne,18
518376,TopplePOP: Bungee Blockbusters,124211
16097,Apollo Justice: Ace Attorney,1429
801869032,The Happyhills Homicide 2: Out For Blood,337364
498664,Travis Strikes Again: No More Heroes,55195
1336645734,Toziuha Night: Order of the Alchemists,177207
479682350,Monsters & Memories,233978
595729278,METAL GEAR SOLID: MASTER COLLECTION Vol.1,250635
516656,Slapshot: Rebound,132909
90491877,Dead of Night,37427
126493842,Rune Factory: PROJECT DRAGON,250922
690874936,dino game,129564
513990,Reverse Collapse: Code Name Bakery,121203
24226,Metal Gear Solid: Peace Walker,382
1435199522,I Don't Fall,301709
18697,F-Zero GX,3492
512186,Cat Quest II,101869
493022,Near Death,18434
1792145303,Vertigo 2,120529
494141,Monster Hunter Generations Ultimate,25623
1576857499,Potion Permit,155706
5068,Luminous Arc,21447
247634300,Strife: Veteran Edition,147967
502825,We Were Here Too,54486
30637,State of Decay,3049
