category_id,category_name,igdb_id,_merge
494363,TaleSpire,57260,left_only
494544,Marvel vs. Capcom: Infinite,26197,left_only
494666,Sea of Solitude,26298,left_only
495111,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,56978,left_only
495946,Cars 3: Driven to Win,28075,left_only
496040,Duolingo,321884,left_only
496233,The Surge,11590,left_only
496259,PC Building Simulator,27792,left_only
496474,Crackdown 3,7333,left_only
496528,I Am the Hero,32172,left_only
496567,Pinturillo 2,56265,left_only
496738,War of Rights,33953,left_only
496885,Stationeers,28013,left_only
496960,Assassin's Creed Origins,28540,left_only
497250,Kyoei Toshi,36601,left_only
497462,Tropico 6,36649,left_only
497972,The Letter,33062,left_only
498241,Eleven: Table Tennis VR,32889,left_only
498247,Just Us,54760,left_only
498302,Arena of Valor,55044,left_only
499566,The Painscreek Killings,68682,left_only
501087,Gungrave G.O.R.E,78113,left_only
506376,Dead or Alive 6,103269,left_only
506444,Dementium: The Ward,21238,left_only
508577,Onmyoji Arena,105192,left_only
508712,End Roll,109085,left_only
509099,Headliner: NoviNews,107596,left_only
509509,DEADPOOL,1919,left_only
509510,Spider-Man,3603,left_only
510366,Epic Battle Fantasy 5,108297,left_only
510368,Reentry: A Space Flight Simulator,107906,left_only
510417,You and Me and Her: A Love Story,133256,left_only
510611,Werewolf: The Apocalypse - Earthblood,26879,left_only
510694,Observation,110807,left_only
510773,I'm on Observation Duty,116475,left_only
511661,KUNAI,114094,left_only
511725,FRAG: Pro Shooter,125868,left_only
511749,One Leaves,123264,left_only
511844,The Lord of the Rings: Gollum,116584,left_only
511974,Superliminal,68447,left_only
512073,Ostranauts,115299,left_only
512371,Madden NFL 20,114286,left_only
512457,F1 2019,116667,left_only
512525,Olympic Games Tokyo 2020: The Official Video Game,116797,left_only
512739,TheLast.io,125984,left_only
512921,Gylt,119247,left_only
513008,Songs of Conquest,119346,left_only
513942,Orcs Must Die! 3,121754,left_only
515156,Tell Me Why,125628,left_only
515210,Inferna,126774,left_only
515417,The Backrooms Game,130726,left_only
515481,Godfall,127343,left_only
515486,First Class Trouble,121898,left_only
515630,Little Witch in the Woods,130577,left_only
515882,beatoraja,130770,left_only
515952,Captain Tsubasa: Rise of New Champions,128769,left_only
516496,Hellsplit: Arena,117599,left_only
516564,Punishing: Gray Raven,132185,left_only
516632,Pumpkin Jack,126725,left_only
517357,Guardian Tales,133433,left_only
517497,Tony Hawk's Pro Skater 1+2,NA,left_only
518405,Little Goody Two Shoes,137243,left_only
518872,Balan Wonderworld,135992,left_only
519080,SMASH LEGENDS,138592,left_only
519257,Shredders,136084,left_only
519358,Puyo Puyo Tetris 2,137132,left_only
519497,Aragami 2,138031,left_only
2777177,Tales of Xillia Remastered,361791,left_only
5420515,Scribble,262675,left_only
6472896,Infinity Ops,100920,left_only
29656585,Overcome Your Fears: Caretaker,333822,left_only
42328067,Backrooms,379993,left_only
44005315,Void Stranger,178900,left_only
44336949,Dungeons of Eternity,251564,left_only
62203237,Kao the Kangaroo,134528,left_only
66099908,Reverse: 1999,188383,left_only
72693669,AQtion,202662,left_only
81920088,Hypnosis,35903,left_only
103252334,CookieRun: Kingdom,142737,left_only
110660262,Monument Valley III,121277,left_only
121549083,MOONVALE,302726,left_only
146467191,HeadBangers: Rhythm Royale,252788,left_only
146842359,There Are No Orcs,349032,left_only
157812725,TV Night,177800,left_only
160326420,Fear of Hunger,353558,left_only
161123473,Forest Doesn’t Care,358851,left_only
161713365,PVZ Fusion,371703,left_only
168850344,Wild Hearts,218793,left_only
169524659,IFO,199772,left_only
186889917,The Legend of Zelda: Majora's Mask 3D,8593,left_only
198046895,IndieAdventure,181432,left_only
209361731,GORN 2,333676,left_only
210472759,Shift at Midnight,352789,left_only
238409547,Santa Simulator: Christmas Factory,381892,left_only
256804748,Resident Evil 5 Remastered,23215,left_only
269359534,Dishonored: Definitive Edition,20863,left_only
290347532,Christmas Nightmare,277266,left_only
296415014,Ghosts 'n Goblins Resurrection,141545,left_only
308036073,A Case of Fraud,325352,left_only
313462248,SHUUEN NO VIRCHE -ERROR: SALVATION,147480,left_only
319642273,Metal Slug Awakening,175038,left_only
328405567,Plants vs. Zombies: Garden Warfare 2 - Deluxe Edition,81997,left_only
341082141,Truck Simulator 2023: Driver Europe,263841,left_only
343792286,Basketball,246504,left_only
344617328,Food Truck Simulator,129109,left_only
349626339,Terra Invicta,124042,left_only
353113584,boyfriend or cake??,364508,left_only
359932905,Motel Simulator,211165,left_only
373507605,Nioh 2 Remastered: The Complete Edition,143350,left_only
382302688,LocoRoco 2 Remastered,37147,left_only
390416856,Bloomtown: A Different Story,252871,left_only
403937708,City of Heroes: Homecoming,281858,left_only
405007883,Fire Emblem Fates: Birthright,24220,left_only
406630242,Naheulbeuk's Dungeon Master,252851,left_only
411019402,ITGmania,297623,left_only
424102892,The Upturned,172905,left_only
432578399,Dreamless,320135,left_only
439925033,Project SkyShard,362918,left_only
440715807,"Yes, No, Goodbye",365359,left_only
442246166,War Thunder Mobile,245059,left_only
449601671,Operation: Outbreak,382169,left_only
450376300,BOKURA,195883,left_only
450812287,Kabuto Park,331929,left_only
466493500,属性与生活,109823,left_only
469848814,Fernbus Coach Simulator,33896,left_only
477532253,Lunch Lady,145855,left_only
480318282,Vlogger Go Viral,102765,left_only
494160368,LEGO Batman,213256,left_only
494187622,Surrounded,187157,left_only
502866917,Police Scanner Radio,212750,left_only
508205563,Apewar,241939,left_only
519716664,Heavy Cargo - The Truck Simulator,165384,left_only
521239567,Aaero2,304670,left_only
526495032,DuckTales: Remastered,2904,left_only
538590968,Collage,177037,left_only
541738659,Ereban: Shadow Legacy,204624,left_only
546983761,OpenGuessr,314022,left_only
580396729,Oddworld: New 'n' Tasty,5552,left_only
580954130,Sonic the Hedgehog 3 & Knuckles,206597,left_only
589759234,Raven 2,345942,left_only
601470178,Just Dance 2026 Edition,358527,left_only
610885098,Casino Games,358606,left_only
623212520,Call of Duty: World at War - Zombies,89115,left_only
624848592,The Backrooms 1998,200831,left_only
634101572,Little Nightmares: Enhanced Edition,350903,left_only
682754513,SWORN,118074,left_only
689053174,Tales Beyond The Tomb: The Last Vigil,329762,left_only
700055046,Series Makers,115382,left_only
711174187,NOBUNAGA'S AMBITION: Awakening,245997,left_only
728049090,Jewel Match Aquascapes 2 Collector's Edition,271003,left_only
732078367,Deer Hunting Camp,339048,left_only
737170012,UNION ARENA Tutorial App,328901,left_only
752123219,Wanted Raccoon,144087,left_only
775676790,Snail Simulator,272721,left_only
796671761,Bramble: The Mountain King,152124,left_only
797250788,Neon Clash: Echoes of the Lost,276732,left_only
803551589,Night Swarm,343477,left_only
806939753,Nuclear Option,226030,left_only
818918474,Black Otaku 2: Taekwondo is in my Blood,261770,left_only
827468472,Void & Nothingness,30762,left_only
855139363,Simon the Sorcerer Origins,202463,left_only
869806873,Domino,81081,left_only
932294127,Welcome to Kowloon,258211,left_only
947781501,Rugrats: Adventures in Gameland,264302,left_only
948711133,Unseen,372383,left_only
950189725,MultiVersus,182278,left_only
954824721,Godzilla,77247,left_only
981041149,Seven Knights Re:BIRTH,366551,left_only
1002994325,Bofyne Unit: The Omega Contract,303348,left_only
1016442748,MLB The Show 23,230593,left_only
1023625360,Risk of Rain Returns,229794,left_only
1052116685,Morse Code,103677,left_only
1057015686,Animals,203527,left_only
1070902554,Night Shift,344604,left_only
1074273761,The Bleakest Keep,344344,left_only
1075742836,Informaticus,343876,left_only
1081645532,The Path into the Abyss,305088,left_only
1082952641,Home,116768,left_only
1088733153,Sly Cooper and the Thievius Raccoonus,222125,left_only
1090256367,Endoparasitic,177401,left_only
1092905645,Shrimp Game,292946,left_only
1100757263,KILL KNIGHT,296832,left_only
1101086231,Pass The Fear,381896,left_only
1101172730,AI: The Somnium Files,104971,left_only
1103329864,Apollo Justice: Ace Attorney Trilogy,252997,left_only
1110591932,Bendy: Secrets of the Machine,294976,left_only
1115015222,The Strongest TOFU,250730,left_only
1139106192,Duels,191763,left_only
1141819927,Inkshade,318693,left_only
1158113498,Tattoo Artist,284725,left_only
1160459167,MLB The Show 21,143260,left_only
1162901384,Fears to Fathom: Ironbark Lookout,256636,left_only
1166288653,I Hate My Waifu Streamer,303937,left_only
1167040590,Azar,186767,left_only
1174225619,Plato,86967,left_only
1181752917,Chains of Freedom,324581,left_only
1201819487,Shadow of the Colossus,37094,left_only
1214030133,Monster High Skulltimate Secrets,314521,left_only
1218812340,No More Heroes,377191,left_only
1225831837,Animal Rivals,370847,left_only
1250647518,Sniper Elite: Resistance,314238,left_only
1259504587,SOUND VOLTEX EXCEED GEAR,143175,left_only
1284999473,Strange Horticulture,186597,left_only
1297345368,Iron Lung,190361,left_only
1310524846,Resident Evil 4 VR,172560,left_only
1317470579,Spirittea,204418,left_only
1322318463,GODBREAKERS,358248,left_only
1327012121,September 7th,230769,left_only
1350012934,HYPER DEMON,218183,left_only
1395476367,Wangan Midnight,268764,left_only
1399544207,Raiders of Blackveil,341668,left_only
1409017406,Storyteller,159299,left_only
1409252674,Love Is All Around 2,348790,left_only
1420544825,Movie to Movie,229563,left_only
1450855111,Final Fantasy II,271819,left_only
1479577084,Virtual Droid,95810,left_only
1480387122,Cars Puzzles Game,222052,left_only
1483136307,Super Mario 64 DS,22301,left_only
1492453896,Are You Smarter Than a 5th Grader?,212767,left_only
1499221970,Eternal Strands,295199,left_only
1511520822,Grand Truck Simulator 2,205149,left_only
1513727247,Letters To Arralla,224565,left_only
1524586215,World's End Club,110581,left_only
1533601850,Battlegrounds,344182,left_only
1560894071,Lingo 2,327669,left_only
1564331879,Gears of War,318793,left_only
1579549057,Prayer of the Faithless,197012,left_only
1608785203,Trivia Murder Party 3,338920,left_only
1622450323,Fantasia,45587,left_only
1625169112,My First Gran Turismo,324502,left_only
1638294306,Undercroft Warriors,263727,left_only
1649747206,Hellslave,154043,left_only
1650785158,Futbol Plus,332746,left_only
1666257440,Luigi's Mansion 2 HD,254328,left_only
1672861548,Food Delivery Simulator 2025,345768,left_only
1686503876,Ys Memoire: The Oath in Felghana,232700,left_only
1688925820,DeadPoly,158761,left_only
1695850387,Juego-matica,185723,left_only
1707018806,Catherine: Full Body,78497,left_only
1709063552,UNCURSED,331985,left_only
1712057841,Wall World,224705,left_only
1716516651,Hot Wheels Unleashed,144072,left_only
1725408175,Myst,141568,left_only
1746347805,Worship,144971,left_only
1749671014,Magicraft,275249,left_only
1808157429,Shinobi,10223,left_only
1813418891,Neon Inferno,322701,left_only
1814428714,Whiskey Mafia: Blacklist,380649,left_only
1817170134,Fish Stick Protocol,340540,left_only
1817703842,Piñata Go Boom,345537,left_only
1824567799,HARVESTELLA,206818,left_only
1830452969,Ninja Gardening Simulator,281531,left_only
1840671301,Warplanes: Air Corp,266302,left_only
1847851872,Terraformers,137070,left_only
1848487811,Apex,5728,left_only
1850401615,BarnFinders: The Pilot,133072,left_only
1855321584,Cats & Cups,360002,left_only
1855871985,HoloCure: Save the Fans!,206336,left_only
1857688040,Climb The Backrooms,354740,left_only
1858999663,GIGASWORD,177317,left_only
1870224926,Radiolight,170912,left_only
1893932682,A Day Out,190377,left_only
1924027539,Dragon Quest VI: Maboroshi no Daichi,145497,left_only
1935014608,Treasure Island,274715,left_only
1952729106,Espresso Tycoon,194825,left_only
1965562480,Chess,247071,left_only
1968590003,Hotel Galactic,305184,left_only
1969007352,Basketball,287290,left_only
1969359801,Nocturia The Game,247912,left_only
1978068952,Chorus of Carcosa,315958,left_only
1981153950,PokéOne,127982,left_only
2002350619,Evolve Lab,168639,left_only
2011314550,Palmon: Survival,369018,left_only
2031365572,Teenage Mutant Ninja Turtles: Splintered Fate,248582,left_only
2032178263,Kanjozoku Game Racer,210360,left_only
2043761378,Squeakross: Home Squeak Home,305074,left_only
2044434874,Baki Hanma: Blood Arena,337462,left_only
2051295909,PISO 6,366364,left_only
2053251455,Firefighting Simulator: The Squad,228376,left_only
2060198130,BRAZILIAN DRUG DEALER 3: I OPENED A PORTAL TO HELL IN THE FAVELA TRYING TO REVIVE MIT AIA I NEED TO CLOSE IT,317175,left_only
2086401785,Just Survival: The Zombie Awakening,212217,left_only
2087681658,Old School Rally,293490,left_only
2093670720,Pax Augusta,220462,left_only
2115726149,Slap 'em UP!,348014,left_only
2132752782,Aion Classic,214966,left_only
2137609152,Five Nights at Freddy's Simulator,263637,left_only
